,Open,High,Low,Close,Volume,Date
2025-01-30,368.43054935789627,375.6413295890009,368.09516773125983,369.8904724121094,4234600,2025-01-30
2025-01-31,372.33674805633075,372.86942709540915,366.2406360762451,366.3984680175781,2858000,2025-01-31
2025-02-03,359.1975728339521,363.54768978363114,354.8079602686033,356.6427001953125,3079300,2025-02-03
2025-02-04,364.64263681347046,364.64263681347046,354.53175927651506,357.03729248046875,2709800,2025-02-04
2025-02-05,357.9447962137029,358.0730365529739,352.3517714262563,353.9793701171875,2134200,2025-02-05
2025-02-06,358.96079662542525,362.55140552854886,357.59952248310617,360.4897766113281,3007000,2025-02-06
2025-02-07,364.2381788626273,364.51437722540277,357.65869736253995,358.9410705566406,1804800,2025-02-07
2025-02-10,360.37138571602105,361.2690379558438,356.6426926216462,358.2900390625,1944400,2025-02-10
2025-02-11,356.8301373202241,359.47378488456496,356.0804731781275,357.3135070800781,1516900,2025-02-11
2025-02-12,352.1544494209991,354.05824636252936,346.66991754696915,347.26177978515625,2833100,2025-02-12
2025-02-13,347.7846245057464,352.7364779188967,345.663812172181,348.8992919921875,3547200,2025-02-13
2025-02-14,351.75992439746864,354.00897707415027,348.0114832007544,348.5244445800781,2045300,2025-02-14
2025-02-18,350.6452701027915,352.0854453534614,346.34443195375724,349.1952209472656,3120200,2025-02-18
2025-02-19,347.0941032981632,349.0472398183464,344.845050685543,348.2087707519531,2211000,2025-02-19
2025-02-20,350.1816152106989,352.0065113388081,342.7341027595359,344.4110107421875,2174100,2025-02-20
2025-02-21,345.7722618998506,347.22231082247674,333.01776776404813,335.4246520996094,3225200,2025-02-21
2025-02-24,338.7292155854977,340.7612529988304,331.66639395237996,334.31988525390625,2513300,2025-02-24
2025-02-25,336.3716084892996,339.5577785506172,331.8143205456601,337.713134765625,3323500,2025-02-25
2025-02-26,340.7612775605893,344.0460667877635,335.50360389211534,337.9302062988281,2397800,2025-02-26
2025-02-27,338.98567638378864,342.21131235724044,333.866117183204,335.3852233886719,1971000,2025-02-27
2025-02-28,337.33835360190653,340.2187039025479,334.1423092981838,339.2816162109375,3210300,2025-02-28
2025-03-03,342.91165910470215,343.4245903617567,325.55053604731836,327.53326416015625,2569700,2025-03-03
2025-03-04,322.9463912869284,327.41490496435097,314.35458934354983,322.3150634765625,3500200,2025-03-04
2025-03-05,324.65287404357605,334.90186580042456,324.1892521142826,333.89569091796875,3189100,2025-03-05
2025-03-06,330.71941847219074,337.26930917263314,328.0067438201167,336.38153076171875,2234100,2025-03-06
2025-03-07,334.79336050477434,347.3407147501692,334.79336050477434,345.54541015625,3063800,2025-03-07
2025-03-10,340.31736434414165,347.6267930863721,337.2101248642817,340.5245056152344,2809100,2025-03-10
2025-03-11,339.25202174624854,340.46530781405545,331.80447907332865,335.1583251953125,3190900,2025-03-11
2025-03-12,338.3740749778044,340.2285626769538,330.896971068928,333.54058837890625,1816700,2025-03-12
2025-03-13,331.46909362934764,336.02638196559514,327.1682859694076,328.7860107421875,2490300,2025-03-13
2025-03-14,333.13616753732794,337.3482004945099,332.37662949358366,335.0301208496094,1936100,2025-03-14
2025-03-17,335.1287173464777,339.68600551470865,334.3987709603489,337.9893798828125,1683800,2025-03-17
2025-03-18,337.35810087142454,337.35810087142454,330.79836604182066,332.139892578125,3310000,2025-03-18
2025-03-19,332.35686164387363,337.35805405600263,332.1004110789145,334.02392578125,2407200,2025-03-19
2025-03-20,330.02896669928026,335.1682441562857,329.0819748808017,331.6861572265625,2782900,2025-03-20
2025-03-21,326.7145244102635,331.3902095212882,324.74167013147235,331.2225036621094,6766100,2025-03-21
2025-03-24,335.92773861128416,338.49245510530005,334.6848609291071,337.0325622558594,2277200,2025-03-24
2025-03-25,338.9166271629917,340.1299433954611,336.2039524987991,337.96966552734375,1678000,2025-03-25
2025-03-26,338.69956330897406,342.55649652597947,334.1916147570876,336.4801025390625,1703200,2025-03-26
2025-03-27,336.450541177895,337.35806735309785,332.06095865593426,334.6947021484375,1481100,2025-03-27
2025-03-28,332.42592852801585,333.6589623875411,323.59739405246853,325.21514892578125,1965200,2025-03-28
2025-03-31,321.2102548506371,327.4740728287973,317.62951973399186,325.3236389160156,2837500,2025-03-31
2025-04-01,322.57154328420637,327.700946264313,319.493895475469,326.0832214355469,1955300,2025-04-01
2025-04-02,321.70348410035956,331.7847705535687,321.67389249065155,330.1177062988281,1747600,2025-04-02
2025-04-03,315.33115918469485,320.292886213032,300.8602606170747,301.6099548339844,4638700,2025-04-03
2025-04-04,281.1317092884864,290.2956250131829,277.6792146130137,284.1698913574219,7216800,2025-04-04
2025-04-07,272.25386711090744,290.3548095862367,263.67193969323944,276.2587585449219,7824700,2025-04-07
2025-04-08,285.9553882793623,287.8197199868106,264.6288074638872,270.22186279296875,4989000,2025-04-08
2025-04-09,267.0850179506151,297.76287744997,265.4771369206121,296.9244384765625,6457300,2025-04-09
2025-04-10,292.6532121759532,294.221627799248,276.00231635400473,285.23529052734375,4116800,2025-04-10
2025-04-11,285.0280890700177,291.40039895775806,280.28337768521556,289.4670104980469,3197900,2025-04-11
2025-04-14,294.61619187691105,298.374476677219,291.6963460194461,294.0736389160156,2758400,2025-04-14
2025-04-15,292.8011422551194,297.63465911803297,288.4214336350772,289.4472961425781,3611300,2025-04-15
2025-04-16,288.73709081828855,291.71612016174487,283.70630619025303,286.2019958496094,3017200,2025-04-16
2025-04-17,288.20443979815,293.65938084967553,287.93808519582285,290.2561950683594,2717600,2025-04-17
2025-04-21,286.777127824633,288.4324061451005,279.9677490553702,282.2276306152344,2978300,2025-04-21
2025-04-22,284.963289976511,290.6427431322175,284.46770164611706,288.6009216308594,2231200,2025-04-22
2025-04-23,298.6811700748358,302.6656893450397,292.57551824028457,293.1603088378906,2458300,2025-04-23
2025-04-24,294.80567685491394,305.49056040695706,294.44886776424187,304.1524658203125,2874400,2025-04-24
2025-04-25,302.40802961805525,305.27251466937355,301.22852687683195,303.7461242675781,2162400,2025-04-25
2025-04-28,303.74610475405586,308.6821452464027,301.1690393442946,304.3507080078125,2189600,2025-04-28
2025-04-29,302.3088652970555,305.94649675595167,300.23730981711213,304.68768310546875,2651000,2025-04-29
2025-04-30,312.4287594834927,313.2613441760222,299.5137299316223,306.5411682128906,5124800,2025-04-30
2025-05-01,308.6326270993473,316.07637431227096,308.27578773346653,311.1898498535156,2961000,2025-05-01
2025-05-02,315.6699354571926,321.80532105048957,315.6699354571926,320.82403564453125,3765200,2025-05-02
2025-05-05,316.56202444593606,323.5894637336913,316.56202444593606,320.25909423828125,1829100,2025-05-05
2025-05-06,318.71283526409945,321.2403538353427,317.0278531315811,318.0586853027344,1724200,2025-05-06
2025-05-07,319.8923539897498,319.95182217105037,315.3032010934157,317.4639892578125,1555500,2025-05-07
2025-05-08,322.0134842332823,325.9682695020504,320.05094351995746,321.3890380859375,2553400,2025-05-08
2025-05-09,322.7766823328891,324.8482379805967,320.45733251323105,322.7469482421875,1646200,2025-05-09
2025-05-12,340.0825833228167,347.902981092197,336.7324318764342,339.52752685546875,4592000,2025-05-12
2025-05-13,345.85124952719923,352.19477382298044,344.998852156219,349.4294128417969,4132500,2025-05-13
2025-05-14,348.6166505691078,349.32037751708623,345.7025888147838,346.5748291015625,2052200,2025-05-14
2025-05-15,346.3567802116594,348.2400098471058,345.42507171600374,346.7235107421875,1580400,2025-05-15
2025-05-16,348.43825695657324,351.09460318717953,345.1673557786073,350.4602355957031,2561700,2025-05-16
2025-05-19,346.6144952636314,349.84571065450393,345.46472669110995,349.45916748046875,2277700,2025-05-19
2025-05-20,347.74440553646133,349.35010683870337,344.4239577734628,346.40631103515625,2266000,2025-05-20
2025-05-21,343.5814793343851,345.3457725145146,338.6354874136193,339.4879150390625,2093400,2025-05-21
2025-05-22,338.982431020054,344.3050450533582,337.5848682448229,342.144287109375,2174100,2025-05-22
2025-05-23,334.65101121057097,341.8965108390157,333.27326100777555,340.3601989746094,1936600,2025-05-23
2025-05-27,346.8622751715884,350.2223482317654,343.56164004127686,348.40850830078125,2240100,2025-05-27
2025-05-28,349.37984092769636,349.687103263394,345.7818649179932,346.40631103515625,1924400,2025-05-28
2025-05-29,349.09242120436943,349.9745526759962,345.6629282855989,348.68603515625,2290300,2025-05-29
2025-05-30,348.7256879071402,350.123250695381,343.95813036096797,344.959228515625,4867100,2025-05-30
2025-06-02,343.41298163687395,343.41298163687395,336.50447904565084,341.6288757324219,2552700,2025-06-02
2025-06-03,342.9471438856669,347.74443556340293,341.8766863411774,346.317138671875,2614300,2025-06-03
2025-06-04,347.20915370138374,348.62655923961375,346.2477111816406,346.2477111816406,1616300,2025-06-04
2025-06-05,347.90302089574374,348.40853069103514,342.7984669522066,345.8810119628906,1753300,2025-06-05
2025-06-06,350.45032935628115,354.28617808589894,349.1518903870387,350.2322692871094,1608000,2025-06-06
2025-06-09,352.085784916016,357.2795410904492,350.80715851680884,354.91064453125,2147100,2025-06-09
2025-06-10,356.2685383302116,357.180403911293,352.9480904952733,355.4062194824219,1894300,2025-06-10
2025-06-11,357.7553426294157,361.07579082930295,354.5934863411279,359.9359436035156,2551700,2025-06-11
2025-06-12,356.6749244018651,358.8059481547796,354.71238374079786,357.7751159667969,1571800,2025-06-12
2025-06-13,354.07803194682026,357.20023222454097,352.5615329405954,353.89959716796875,1609600,2025-06-13
2025-06-16,357.81476864183304,361.39290180906227,357.02183942560754,359.2420654296875,1579800,2025-06-16
2025-06-17,357.53726403703365,359.1925424519722,353.87981955731055,354.5240783691406,1560100,2025-06-17
2025-06-18,353.9789413487463,361.0163020009737,353.810427999709,356.6253662109375,2000500,2025-06-18
2025-06-20,359.74760219081276,361.03611982593844,355.97122131201803,357.3390197753906,6268300,2025-06-20
2025-06-23,356.7443346091899,363.86097612413784,354.5736551954183,362.9986572265625,2927400,2025-06-23
2025-06-24,366.62637152266865,370.8091082431751,364.6737521741088,369.7287292480469,3841800,2025-06-24
2025-06-25,369.708875697657,370.8883782839567,366.2496790066474,368.3013916015625,1737700,2025-06-25
2025-06-26,370.7000819278849,378.95657044338503,369.7485607753514,378.51055908203125,2575100,2025-06-26
2025-06-27,379.6404912215964,384.07105230943637,379.3728844002428,381.3155822753906,4455000,2025-06-27
2025-06-30,382.90146880477266,385.7164070047957,381.4147037538111,384.7846984863281,2791400,2025-06-30
2025-07-01,383.17898278491583,390.4145905788169,380.8596330216859,387.4707946777344,2393600,2025-07-01
2025-07-02,389.23509720432907,395.1226891467907,385.9840388798984,394.9145202636719,2713700,2025-07-02
2025-07-03,395.40019287406074,398.86931106436657,394.0819110226908,394.3495178222656,1737800,2025-07-03
2025-07-07,394.5477983720907,394.5477983720907,384.66576537324244,388.05560302734375,3012900,2025-07-07
2025-07-08,388.9674613008143,392.45642260946425,388.06548688287637,390.8110656738281,2003600,2025-07-08
2025-07-09,396.19312265787613,400.19748470152905,393.37818466625794,398.63140869140625,3101000,2025-07-09
2025-07-10,401.08957126342096,408.36480468801676,399.88033446679094,404.7271728515625,3382800,2025-07-10
2025-07-11,401.87258570497323,403.28996105792294,398.15567325949,402.33843994140625,2072600,2025-07-11
2025-07-14,400.4353560483236,403.2007472984812,398.6809843134441,402.1897277832031,2497500,2025-07-14
2025-07-15,402.6754339932438,405.1434541629975,399.46400109047664,401.0697326660156,2167000,2025-07-15
2025-07-16,401.4265529979041,409.4253560172349,399.76138344506313,409.2370300292969,3242100,2025-07-16
2025-07-17,411.19955707262193,416.195096180974,409.2370465377182,414.3812561035156,2444700,2025-07-17
2025-07-18,415.0056845434875,416.1950784005503,408.5233806409896,410.0596923828125,2526600,2025-07-18
2025-07-21,415.05363374602655,415.2625348443219,407.71194870045656,407.9407653808594,1833300,2025-07-21
2025-07-22,408.24913606000166,416.34685390547617,408.24913606000166,415.0237731933594,2185000,2025-07-22
2025-07-23,417.81919539193774,425.9368291169325,417.27206335114346,425.3697814941406,3254900,2025-07-23
